Year,Industry,Transportation
1997,6558,5083
1997,7065,5353
1997,7012,5676
1997,7296,6179
1998,7667,5778
1998,7562,6391
1998,7809,6478
1998,7714,6589
1999,8388,6466
1999,8522,6601
1999,8407,7185
1999,9387,7520
2000,9066,7148
2000,9940,7147
2000,9621,7649
2000,11397,7563
2001,10848,7384
2001,10868,7067
2001,9739,7459
2001,10857,7288
2002,11053,7394
2002,12176,7414
2002,10863,7829
2002,11769,7987
2003,11124,7562
2003,11920,7825
2003,10204,8173
2003,12822,8158
2004,11636,7988
2004,12482,8081
2004,10503,8440
2004,12260,8720
2005,12389,8390
2005,12865,8572
2005,11499,8680
2005,13219,9017
2006,12812,8983
2006,14129,8974
2006,12564,9531
2006,12849,9927
2007,13524,10648
2007,12972,10676
2007,12361,10308
2007,13063,10840
2008,13070,10647
2008,13052,10477
2008,11945,10852
2008,10739,10725
2009,12208,9913
2009,12034,9874
2009,10253,10218
2009,9761,9954
2010,12145,10074
2010,11727,10045
2010,10559,10746
2010,10792,10470
2011,11564,10268
2011,12279,10353
2011,10516,10381
2011,10455,10530
2012,11685,10013
2012,12030,9649
2012,10212,10850
2012,9702,10902
2013,10944,10435
2013,11453,10769
2013,9959,11789
2013,9548,11897
2014,11088,11054
2014,13138,11129
2014,10380,12675
2014,10273,12540
2015,12335,12143
2015,13890,12371
2015,12116,13670
2015,12670,13319
